cod;UF;populacao
2500304;PB;28384
2500403;PB;20992
2500502;PB;14629
2500536;PB;5527
2500577;PB;2588
2500601;PB;19865
2500700;PB;18020
2500734;PB;2264
2500775;PB;8482
2500809;PB;16857
2500908;PB;13613
2501005;PB;20610
2501104;PB;22493
2501153;PB;2105
2501203;PB;7054
2501302;PB;19081
2501351;PB;4067
2501401;PB;9197
2501500;PB;21220
2501534;PB;5033
2501575;PB;8338
2501609;PB;15607
2501708;PB;6095
2501807;PB;97519
2501906;PB;17733
2502003;PB;7356
2502052;PB;3571
2502102;PB;5248
2502151;PB;7218
2502201;PB;2588
2502300;PB;4937
2502409;PB;12126
2502508;PB;17934
2502607;PB;6092
2502706;PB;5311
2502805;PB;14287
2502904;PB;6479
2503001;PB;22079
2503100;PB;5710
2503209;PB;69773
2503308;PB;10364
2503407;PB;3708
2503506;PB;17169
2503555;PB;7225
2503605;PB;7182
2503704;PB;62576
2503753;PB;3217
2503803;PB;6077
2503902;PB;6048
2504009;PB;413830
2504033;PB;6715
2504074;PB;4206
2504108;PB;2714
2504157;PB;7530
2504207;PB;4938
2504306;PB;30819
2504355;PB;4898
2504405;PB;19030
2504504;PB;6662
2504603;PB;25341
2504702;PB;4787
2504801;PB;15438
2504850;PB;1948
2504900;PB;17599
2505006;PB;7866
2505105;PB;20331
2505204;PB;6748
2505238;PB;6360
2505279;PB;5209
2505303;PB;2508
2505352;PB;5409
2505402;PB;8332
2505501;PB;3850
2505600;PB;6506
2505709;PB;10375
2505808;PB;3569
2505907;PB;3556
2506004;PB;33386
2506103;PB;11180
2506202;PB;2989
2506251;PB;8292
2506301;PB;59389
2506400;PB;14125
2506509;PB;3477
2506608;PB;5877
2506707;PB;11877
2506806;PB;18184
2506905;PB;24363
2507002;PB;24960
2507101;PB;18978
2507200;PB;11069
2507309;PB;14467
2507408;PB;7751
2507507;PB;825796
2507606;PB;8014
2507705;PB;18422
2507804;PB;7238
2507903;PB;10830
2508000;PB;9831
2508109;PB;4640
2508208;PB;7754
2508307;PB;27728
2508406;PB;2698
2508505;PB;7274
2508554;PB;4406
2508604;PB;13344
2508703;PB;3988
2508802;PB;5745
2508901;PB;45385
2509008;PB;10988
2509057;PB;8746
2509107;PB;21895
2509156;PB;6689
2509206;PB;14077
2509305;PB;8642
2509339;PB;4528
2509370;PB;2944
2509396;PB;6690
2509404;PB;13238
2509503;PB;5806
2509602;PB;4867
2509701;PB;33638
2509800;PB;9962
2509909;PB;10449
2510006;PB;7271
2510105;PB;10614
2510204;PB;5892
2510303;PB;5011
2510402;PB;6399
2510501;PB;3989
2510600;PB;3052
2510659;PB;1747
2510709;PB;2453
2510808;PB;108766
2510907;PB;12411
2511004;PB;3802
2511103;PB;7954
2511202;PB;28607
2511301;PB;16147
2511400;PB;18737
2511509;PB;12036
2511608;PB;6518
2511707;PB;4937
2511806;PB;10590
2511905;PB;19478
2512002;PB;18848
2512036;PB;3877
2512077;PB;4366
2512101;PB;32803
2512200;PB;4265
